Region,Crop,Variety,Rainfall (mm),Temperature (°C),Arrival (Quintals),Min Price (Rs/qtl),Max Price (Rs/qtl),Modal Price (Rs/qtl),Humidity (%),Pesticide Used (litres/ha)
Karnataka,Rice,Basmati,127.18,32.5,971.39,1576.16,1729.37,1709.37,87.99,4.66
Karnataka,Rice,Basmati,62,38.97,797.01,1203.82,1366.32,1346.32,88.63,4.02
Tamil Nadu,Onion,Nashik Red,119.44,32.03,2627.36,812.52,1021.74,1001.74,70.57,2.48
Punjab,Tomato,Local Red,118.57,30.03,2864.95,1417.38,1592.28,1572.28,59.46,4.9
Tamil Nadu,Wheat,HD-2967,140.19,38.15,431.24,1747.26,1931.28,1911.28,61.95,4.57
Karnataka,Potato,Kufri Jyoti,48.21,35.27,2302.13,1001.25,1223.09,1203.09,83.11,3.27
Karnataka,Wheat,HD-2967,101.45,39.33,912.05,1693.31,1896.29,1876.29,42.84,4.83
Bihar,Rice,Basmati,8.3,25.4,741.71,1440.07,1619.65,1599.65,46.33,4.35
Punjab,Maize,Hybrid-1,119.41,25.23,870.98,1210.65,1349.32,1329.32,39.59,4.25
Bihar,Rice,Basmati,137.7,32.4,469.6,1267.45,1379.48,1359.48,65.69,2.53
Tamil Nadu,Wheat,HD-2967,121.29,38.89,587.64,1005.59,1146.11,1126.11,63.23,3.05
Bihar,Rice,Basmati,7.01,36.42,981.8,810.62,905.8,885.8,54.44,2.44
Maharashtra,Wheat,HD-2967,17.29,29.42,912.74,865.78,1018.96,998.96,70.43,2.95
Maharashtra,Onion,Nashik Red,22.83,24.84,2897.26,1737.69,1811.08,1791.08,70.87,1.48
Punjab,Maize,Hybrid-1,99.48,33.1,604.27,1053.89,1143.66,1123.66,72.52,2.27
Uttar Pradesh,Maize,Hybrid-1,125.66,26.75,405.25,1490.06,1623.77,1603.77,71.86,4.12
Karnataka,Onion,Nashik Red,58.59,27.89,2834.75,1184.32,1376.41,1356.41,44.94,3.64
Maharashtra,Potato,Kufri Jyoti,6.9,30.76,2721.02,1540.17,1661.22,1641.22,85.36,4.53
Maharashtra,Rice,Basmati,79.09,38.07,576.19,1738.97,1890.57,1870.57,44.78,1.82
Bihar,Wheat,HD-2967,119.99,27.02,591.93,996.95,1087.23,1067.23,45.42,2.62
Karnataka,Rice,Basmati,129.33,32.07,762.54,846.64,970.6,950.6,45.31,4.9
Maharashtra,Wheat,HD-2967,66.35,29.7,514.59,1574.9,1722.81,1702.81,77.99,1.39
Tamil Nadu,Potato,Kufri Jyoti,127.98,28.03,2015.82,1137.66,1279.09,1259.09,89.29,3.34
Uttar Pradesh,Rice,Basmati,71.72,31.85,724,1011.99,1182.01,1162.01,61.92,3.76
Bihar,Potato,Kufri Jyoti,113.16,30.23,1698.07,1158.19,1256.59,1236.59,45.03,4.45
Maharashtra,Rice,Basmati,129.62,35.13,568.62,1456.71,1532.75,1512.75,46.33,3.02
Punjab,Potato,Kufri Jyoti,14.93,27.08,1517.36,1376.3,1611.67,1591.67,87.15,3.66
Karnataka,Maize,Hybrid-1,125.32,26.44,443.97,1762.47,1864.53,1844.53,79.14,3.71
Punjab,Onion,Nashik Red,12.95,30.05,1634.12,1212.53,1307.08,1287.08,49.09,4.53
Uttar Pradesh,Wheat,HD-2967,103.69,29.03,1061.61,995.02,1141.35,1121.35,79.02,2.04
Punjab,Potato,Kufri Jyoti,23.4,27.01,1797.75,1387.34,1492.09,1472.09,82.28,3.66
Tamil Nadu,Wheat,HD-2967,25.26,35.74,990.91,931.96,1051.1,1031.1,82.34,5.03
Punjab,Onion,Nashik Red,58.67,27.83,2706.84,1454.26,1578.84,1558.84,64.07,4.5
Punjab,Onion,Nashik Red,76.7,38.3,2055.12,1113.21,1286.05,1266.05,65.46,1.2
Punjab,Wheat,HD-2967,58.86,37.59,444.84,1654.32,1759.68,1739.68,54.01,4.9
Bihar,Maize,Hybrid-1,37.38,24.98,779.61,924.46,1024.14,1004.14,84.8,1.75
Karnataka,Wheat,HD-2967,34.09,34.35,562.71,1688.06,1769.37,1749.37,76.51,2.56
Karnataka,Rice,Basmati,111.19,24.91,715.97,1742.15,1898.15,1878.15,54.25,1.49
Punjab,Maize,Hybrid-1,60.12,32.03,978.46,1189.71,1340.66,1320.66,40.38,1.28
Karnataka,Onion,Nashik Red,113.14,37.67,2629.45,1236.7,1301.01,1281.01,53.5,4.41
Bihar,Maize,Hybrid-1,90.78,32.05,527.96,1746.49,1970.78,1950.78,81.52,2.76
Karnataka,Rice,Basmati,25.66,37.04,502.4,842.4,1014.29,994.29,46.36,4.24
Bihar,Maize,Hybrid-1,6.26,36.04,573.46,1666.14,1771.39,1751.39,69.64,1.08
Maharashtra,Rice,Basmati,25.61,40.28,610.18,1608.89,1812.65,1792.65,40.95,4.34
Tamil Nadu,Tomato,Local Red,32.67,27.79,2123.82,1490.82,1685.89,1665.89,49.08,1.19
Uttar Pradesh,Potato,Kufri Jyoti,129.6,34.79,1763.9,1613.49,1707.57,1687.57,82.98,3.21
Maharashtra,Maize,Hybrid-1,121.14,36.76,1043.38,902.7,1073.27,1053.27,89.23,4.33
Bihar,Wheat,HD-2967,73.1,40.32,977.88,1674.54,1735.42,1715.42,52.56,3.62
Maharashtra,Rice,Basmati,103.91,32.16,708.13,1314.36,1375.03,1355.03,77.76,2.56
Bihar,Onion,Nashik Red,62.94,32.06,2780.45,1592.5,1729.33,1709.33,80.99,4.12
Karnataka,Maize,Hybrid-1,99.87,33.1,626.58,1244.52,1471.78,1451.78,42.84,3.62
Uttar Pradesh,Tomato,Local Red,91.83,25.01,1679.75,840.78,964.96,944.96,83.75,3.34
Punjab,Tomato,Local Red,52.15,39.16,2306.36,1296.73,1481.71,1461.71,47.58,4.46
Punjab,Tomato,Local Red,138.69,40.06,1793.5,840.94,955.51,935.51,71.35,3.39
Punjab,Onion,Nashik Red,5.59,38.05,2546.81,1337.16,1455.7,1435.7,75.49,2.05
Tamil Nadu,Potato,Kufri Jyoti,63.81,34.88,1786.59,1525.42,1734.01,1714.01,85.77,1.88
Karnataka,Rice,Basmati,107.93,35.03,559.76,1760.24,1905.12,1885.12,63.09,2.68
Maharashtra,Tomato,Local Red,8.38,32.12,1810.54,928.97,1152.59,1132.59,58.08,2.53
Tamil Nadu,Onion,Nashik Red,62.89,32.01,1931.15,1617.86,1709.67,1689.67,88.65,1.31
Karnataka,Rice,Basmati,52.97,31.05,595.2,1339.6,1464.7,1444.7,59.42,4.91
Karnataka,Wheat,HD-2967,6.21,40.03,795.15,1130.04,1284.29,1264.29,47.93,3.56
Tamil Nadu,Onion,Nashik Red,28.24,29.39,1600.39,1034.02,1217.35,1197.35,48.69,2.83
Bihar,Tomato,Local Red,104.96,30.02,1725.07,799.83,994.13,974.13,55.76,3.15
Uttar Pradesh,Tomato,Local Red,120.78,39.59,1869.65,1670.11,1795.55,1775.55,72.27,4
Bihar,Wheat,HD-2967,58.72,36.66,567.39,920.62,1104.94,1084.94,42.68,2.59
Uttar Pradesh,Potato,Kufri Jyoti,96.31,33.97,2463.5,987.17,1177.19,1157.19,44.84,4.04
Bihar,Wheat,HD-2967,25.69,26.97,668.61,1507.7,1638.41,1618.41,90.33,1.78
Uttar Pradesh,Onion,Nashik Red,10.22,27.06,2470.58,1314.47,1406.22,1386.22,77.81,3.48
Punjab,Potato,Kufri Jyoti,83.54,27.12,1925.95,1112.1,1262.77,1242.77,47.22,4.85
Karnataka,Tomato,Local Red,151.29,33.86,1869.84,1469.17,1640.02,1620.02,78.2,2.94
Tamil Nadu,Onion,Nashik Red,46.14,30.02,2101.01,1651.04,1871.64,1851.64,87.56,4.52
Uttar Pradesh,Tomato,Local Red,57.54,28.17,1745.2,830.83,893.37,873.37,75.38,2.26
Punjab,Maize,Hybrid-1,33.38,36.3,435.68,1793.1,1952.2,1932.2,85.53,4.92
Bihar,Onion,Nashik Red,85.38,27.77,1605.42,1045.11,1267.65,1247.65,84.24,1.49
Tamil Nadu,Onion,Nashik Red,114.48,29.91,2448.26,1630.4,1810.94,1790.94,47.48,3.21
Karnataka,Potato,Kufri Jyoti,107.67,31.89,2732.88,1284.93,1420.99,1400.99,41.66,3.92
Bihar,Rice,Basmati,120.83,37.02,575.28,1649.88,1838.97,1818.97,57.67,3.56
Maharashtra,Onion,Nashik Red,63.65,37.08,2663.38,1644.75,1852.08,1832.08,41.13,4.26
Tamil Nadu,Tomato,Local Red,54.42,36.23,1843.31,1160.26,1277.67,1257.67,52.39,4.59
Karnataka,Rice,Basmati,96.31,32.05,425.14,1543.4,1699.6,1679.6,49.43,4.13
Punjab,Wheat,HD-2967,11.57,27.85,488.78,1885.62,2051.99,2031.99,48.54,1.58
Maharashtra,Onion,Nashik Red,86.72,31.57,853.25,992.46,1169.58,1149.58,66.74,4.67
Tamil Nadu,Tomato,Local Red,121.49,35.22,2447.59,910.84,1033.96,1013.96,85.63,4.79
Bihar,Maize,Hybrid-1,59.89,30.25,581.91,1701.4,1830.31,1810.31,77.41,4.44
Karnataka,Potato,Kufri Jyoti,29.39,26.78,2221.64,787.77,894.01,874.01,45.72,1.39
Punjab,Maize,Hybrid-1,49.76,32.93,661.96,1504.34,1745.25,1725.25,44.14,3.02
Maharashtra,Rice,Basmati,37.29,29.95,418.3,1522.63,1639.51,1619.51,43.32,2.23
Bihar,Onion,Nashik Red,133.38,33.78,1630.67,1175.98,1262.52,1242.52,61.97,3.06
Karnataka,Tomato,Local Red,126.61,30.11,1668.12,835.41,892.93,872.93,64.66,4.65
Uttar Pradesh,Tomato,Local Red,119.59,31.26,2802.26,1285.72,1433.81,1413.81,85.58,4.89
Punjab,Potato,Kufri Jyoti,13.45,28.26,2704.18,1602.77,1708.83,1688.83,84.45,4.54
Tamil Nadu,Wheat,HD-2967,55.07,40,890.02,1607.64,1706.63,1686.63,76.07,1.94
Punjab,Maize,Hybrid-1,70.31,27.31,777.92,1361.47,1484.25,1464.25,74.22,1.5
Punjab,Onion,Nashik Red,49.65,31.01,2267.7,1288.95,1464.24,1444.24,88.07,1.78
Punjab,Tomato,Local Red,42.69,31.18,1878.2,1352.94,1469.83,1449.83,53.82,4.33
Punjab,Rice,Basmati,115.46,37.98,943.47,1522.83,1627.88,1607.88,66.4,1.09
Bihar,Onion,Nashik Red,68.06,26.7,2270.87,1621.48,1711.45,1691.45,76.67,1.94
Karnataka,Wheat,HD-2967,132.58,39.93,866.74,1486.61,1599.86,1579.86,66.18,4.12
Uttar Pradesh,Potato,Kufri Jyoti,121.2,26.25,2342.87,829.36,1066.3,1046.3,80.8,4.61
Bihar,Rice,Basmati,129.03,27.15,703.6,1517.62,1716.67,1696.67,72.73,3.4
Karnataka,Rice,Basmati,126.85,32.19,929.35,1530.03,1705.83,1685.83,88.03,4.56
Karnataka,Rice,Basmati,64.45,39.15,766.26,1247,1364,1344,89.9,4.13
Tamil Nadu,Onion,Nashik Red,121.5,32,2562.83,843.11,990.6,970.6,70.05,2.56
Punjab,Tomato,Local Red,119.27,30.23,2912.84,1367.12,1595.82,1575.82,58.08,4.89
Tamil Nadu,Wheat,HD-2967,137.59,37.61,402.58,1756.78,1956.98,1936.98,63.49,4.6
Karnataka,Potato,Kufri Jyoti,48.72,35.12,2338.23,1002.03,1207.51,1187.51,83.67,3.15
Karnataka,Wheat,HD-2967,102.22,38.57,887.38,1687.12,1829.77,1809.77,41.32,4.78
Bihar,Rice,Basmati,7.63,25.08,676.21,1469.13,1645.09,1625.09,44.73,4.32
Punjab,Maize,Hybrid-1,123.33,24.95,866.37,1227.58,1360.25,1340.25,37.93,4.02
Bihar,Rice,Basmati,137.37,32.19,517.45,1276.17,1349.04,1329.04,64.91,2.37
Tamil Nadu,Wheat,HD-2967,125.98,39.34,626.1,1057.53,1148.86,1128.86,62.57,3.12
Bihar,Rice,Basmati,5.47,35.69,995.71,835.52,900.43,880.43,54.1,2.44
Maharashtra,Wheat,HD-2967,22.21,28.9,896.5,860.28,1042.75,1022.75,71.32,2.97
Maharashtra,Onion,Nashik Red,24.38,24.84,2948.07,1713.45,1784.83,1764.83,69.74,1.5
Punjab,Maize,Hybrid-1,100.77,32.77,581.94,1031.3,1125.03,1105.03,73.36,2.32
Uttar Pradesh,Maize,Hybrid-1,130.45,26.7,399.59,1497.47,1652.3,1632.3,72.06,4.2
Karnataka,Onion,Nashik Red,60.18,28.13,2884.07,1189.09,1336.26,1316.26,46.32,3.73
Maharashtra,Potato,Kufri Jyoti,8.43,30.81,2622.32,1583.45,1625.01,1605.01,85.95,4.59
Maharashtra,Rice,Basmati,81.43,38.03,497.03,1763.86,1871.06,1851.06,44.84,1.75
Bihar,Wheat,HD-2967,126.69,27.27,636.25,987.09,1113.36,1093.36,45.98,2.57
Karnataka,Rice,Basmati,130.21,31.29,758.15,887.16,988.94,968.94,45.51,4.9
Maharashtra,Wheat,HD-2967,74.95,29.75,546.26,1573.86,1685.84,1665.84,76.91,1.39
Tamil Nadu,Potato,Kufri Jyoti,128.2,27.98,2055.67,1157.05,1275.64,1255.64,89.51,3.51
Uttar Pradesh,Rice,Basmati,73.07,31.87,753.84,970.61,1180.98,1160.98,64.02,3.69
Bihar,Potato,Kufri Jyoti,111.6,29.71,1691.88,1121.9,1250.83,1230.83,47.25,4.41
Maharashtra,Rice,Basmati,129.52,35.1,613.13,1466.39,1541.39,1521.39,45.18,3.1
Punjab,Potato,Kufri Jyoti,18.75,27.21,1523.73,1383.97,1580.18,1560.18,87.02,3.63
Karnataka,Maize,Hybrid-1,128.56,26.24,478.31,1750.66,1882.94,1862.94,80.83,3.83
Punjab,Onion,Nashik Red,12.46,30.1,1679.91,1218.77,1283.47,1263.47,51.01,4.49
Uttar Pradesh,Wheat,HD-2967,103.97,28.72,988.42,1003.97,1149.69,1129.69,79.18,1.92
Punjab,Potato,Kufri Jyoti,24.07,26.95,1860.2,1407.33,1502.87,1482.87,83.5,3.58
Tamil Nadu,Wheat,HD-2967,20.12,36.15,995.89,930.24,1043.44,1023.44,83.32,5.05
Punjab,Onion,Nashik Red,61.56,28.13,2640.05,1465.08,1565.83,1545.83,63.84,4.46
Punjab,Onion,Nashik Red,77.4,37.99,2028.43,1112.83,1286.36,1266.36,64.16,1.3
Punjab,Wheat,HD-2967,57.48,37.8,445.25,1681.12,1771.65,1751.65,55.48,4.87
Bihar,Maize,Hybrid-1,40.37,24.9,794.46,900.51,1029.57,1009.57,86.52,1.71
Karnataka,Wheat,HD-2967,31.03,34.22,629.69,1649.96,1735.1,1715.1,74.98,2.48
Karnataka,Rice,Basmati,111.27,25.06,645.09,1731.41,1894.68,1874.68,56.39,1.58
Punjab,Maize,Hybrid-1,58.54,31.95,908.73,1180.14,1324.01,1304.01,40.14,1.4
Karnataka,Onion,Nashik Red,116.64,37.91,2602.25,1187.73,1321.3,1301.3,53.27,4.52
Bihar,Maize,Hybrid-1,92,31.99,523.33,1737.94,1962.96,1942.96,78.61,2.68
Karnataka,Rice,Basmati,29.56,37.12,534.48,796.92,1004.93,984.93,47.38,4.15
Bihar,Maize,Hybrid-1,8.72,36.33,493.69,1673.56,1776.54,1756.54,67.97,1.26
Maharashtra,Rice,Basmati,22.35,39.88,650.18,1627.83,1848.91,1828.91,41,4.33
Tamil Nadu,Tomato,Local Red,29.59,28.04,2063.4,1490.68,1640.49,1620.49,48,1.14
Uttar Pradesh,Potato,Kufri Jyoti,128.77,34.85,1764.33,1607.91,1711.99,1691.99,84.06,3.29
Maharashtra,Maize,Hybrid-1,122.49,36.93,983.38,901.82,1064.99,1044.99,89.99,4.21
Bihar,Wheat,HD-2967,69.86,40.09,965.13,1670.86,1718.63,1698.63,52.26,3.63
Maharashtra,Rice,Basmati,103.66,31.69,566.79,1317.26,1395.08,1375.08,78.44,2.62
Bihar,Onion,Nashik Red,65.98,31.97,2725.53,1627.08,1707.65,1687.65,81.23,4
Karnataka,Maize,Hybrid-1,96.25,33.1,693.95,1260.41,1486.62,1466.62,43.42,3.58
Uttar Pradesh,Tomato,Local Red,85.99,24.69,1641.07,831.34,969.82,949.82,84.34,3.41
Punjab,Tomato,Local Red,50.75,38.63,2345.14,1267.88,1465.92,1445.92,47.78,4.33
Punjab,Tomato,Local Red,142.43,40.16,1748.56,825.75,930.51,910.51,72.63,3.38
Punjab,Onion,Nashik Red,3.82,38.22,2625.22,1356.22,1481.94,1461.94,76.77,2.02
Tamil Nadu,Potato,Kufri Jyoti,62.08,35.43,1935.7,1530.2,1719.2,1699.2,87.15,1.84
Karnataka,Rice,Basmati,103.26,35.45,494.81,1788.83,1901.52,1881.52,63.65,2.62
Maharashtra,Tomato,Local Red,13.82,32.39,1861.76,929.52,1147.68,1127.68,58.16,2.42
Tamil Nadu,Onion,Nashik Red,65.46,32.07,1946.02,1614.19,1701.45,1681.45,87.96,1.31
Karnataka,Rice,Basmati,48.68,31.02,474.02,1364.01,1440.82,1420.82,59.45,4.95
Karnataka,Wheat,HD-2967,5.45,40.04,814.62,1105.03,1291.14,1271.14,48.48,3.38
Tamil Nadu,Onion,Nashik Red,24.69,28.9,1615.84,1021.51,1232.51,1212.51,48.42,2.78
Bihar,Tomato,Local Red,107.14,30.04,1656.36,811.12,996.94,976.94,57.26,3.14
Uttar Pradesh,Tomato,Local Red,118.58,39.88,1778.18,1675.35,1795.92,1775.92,72.11,4
Bihar,Wheat,HD-2967,64.37,36.58,645.12,942.73,1102.04,1082.04,41.49,2.65
Uttar Pradesh,Potato,Kufri Jyoti,91.96,33.79,2429.2,972.89,1212.35,1192.35,45.7,4.08
Bihar,Wheat,HD-2967,27.56,26.84,682.51,1461.4,1658.45,1638.45,89.91,1.67
Uttar Pradesh,Onion,Nashik Red,9.04,27.38,2445.72,1321.58,1409.48,1389.48,77.05,3.4
Punjab,Potato,Kufri Jyoti,82.65,27.04,1933.45,1138.7,1290.39,1270.39,46.74,4.84
Karnataka,Tomato,Local Red,150.21,33.93,1831.23,1500.82,1678.65,1658.65,79.29,2.95
Tamil Nadu,Onion,Nashik Red,41.59,29.77,2125.78,1672.23,1864.84,1844.84,86.88,4.4
Uttar Pradesh,Tomato,Local Red,55.42,28.06,1716.37,810.03,883.92,863.92,74.56,2.28
Punjab,Maize,Hybrid-1,32.69,36.13,408.11,1761.82,1970.14,1950.14,85.51,4.96
Bihar,Onion,Nashik Red,88.65,28.26,1618.48,1035.17,1226.82,1206.82,84.95,1.41
Tamil Nadu,Onion,Nashik Red,118.12,30.13,2435.52,1656.55,1780.26,1760.26,48.2,3.22
Karnataka,Potato,Kufri Jyoti,109.2,31.55,2676.49,1271.33,1435.4,1415.4,41.98,3.88
Bihar,Rice,Basmati,116.53,37.19,570.99,1661.8,1836.15,1816.15,55.56,3.51
Maharashtra,Onion,Nashik Red,66.67,36.86,2622.96,1626.21,1855.85,1835.85,41.31,4.26
Tamil Nadu,Tomato,Local Red,58.21,36.06,1741.29,1153.06,1236.62,1216.62,50.63,4.54
Karnataka,Rice,Basmati,97.32,32.05,404.33,1519.17,1686.4,1666.4,49.73,4.09
Punjab,Wheat,HD-2967,9.69,28.2,514.9,1914.06,2003.5,1983.5,50.42,1.71
Maharashtra,Onion,Nashik Red,86.52,32.34,768.3,1018.63,1164.06,1144.06,66.01,4.66
Tamil Nadu,Tomato,Local Red,117.44,34.93,2568.38,884.88,1017.66,997.66,85.68,4.91
Bihar,Maize,Hybrid-1,62.07,29.77,617.15,1686.45,1815.95,1795.95,75.66,4.47
Karnataka,Potato,Kufri Jyoti,27.83,26.03,2232.43,804.59,913.54,893.54,48.4,1.43
Punjab,Maize,Hybrid-1,55.07,32.76,632.52,1513.47,1737.22,1717.22,44.58,3.19
Maharashtra,Rice,Basmati,36.42,29.64,454.34,1569.58,1655.2,1635.2,44.19,2.23
Bihar,Onion,Nashik Red,136.65,34.01,1618.12,1169.52,1267.31,1247.31,62.78,3.15
Karnataka,Tomato,Local Red,129.92,30.13,1652.77,832.09,890.37,870.37,67.08,4.67
Uttar Pradesh,Tomato,Local Red,119.08,30.97,2798.78,1246.36,1401.53,1381.53,84.58,4.88
Punjab,Potato,Kufri Jyoti,14.29,27.87,2733.88,1601.5,1737.24,1717.24,82.57,4.53
Tamil Nadu,Wheat,HD-2967,54.79,40.12,977.12,1567.69,1689.26,1669.26,76.8,2.05
Punjab,Maize,Hybrid-1,73.24,27.16,811.19,1411,1475.1,1455.1,73.66,1.4
Punjab,Onion,Nashik Red,51.37,31.55,2391.03,1297.75,1477.95,1457.95,89.67,1.77
Punjab,Tomato,Local Red,44.2,30.84,1859.3,1350.76,1446.61,1426.61,52.77,4.36
Punjab,Rice,Basmati,110.07,37.75,960.67,1522.59,1615.47,1595.47,66.69,0.89
Bihar,Onion,Nashik Red,63.11,26.24,2246.18,1594.57,1691.41,1671.41,74.98,1.91
Karnataka,Wheat,HD-2967,134.16,40.03,896.94,1493.91,1619.98,1599.98,66.53,3.96
Uttar Pradesh,Potato,Kufri Jyoti,119.79,25.81,2296.31,837.52,1076.22,1056.22,80.93,4.65
Bihar,Rice,Basmati,130.23,26.82,711.85,1508.09,1735.34,1715.34,73.75,3.53
Karnataka,Rice,Basmati,126.58,31.75,975.7,1551.83,1700.79,1680.79,88.25,4.69
Karnataka,Rice,Basmati,65.17,39.07,785.69,1235.25,1344.15,1324.15,87.99,4.09
Tamil Nadu,Onion,Nashik Red,123.88,32.35,2580.67,835.6,990.69,970.69,69.68,2.54
Punjab,Tomato,Local Red,117.23,30.21,2891.5,1378.74,1607.55,1587.55,58.79,5.02
Tamil Nadu,Wheat,HD-2967,137.78,37.96,431.24,1747.76,1963.17,1943.17,63.29,4.63
Karnataka,Potato,Kufri Jyoti,47.43,34.6,2277.93,1046.27,1188.07,1168.07,84.1,3.14
Karnataka,Wheat,HD-2967,98.22,39.05,848.34,1701.94,1883.47,1863.47,44.09,4.94
Bihar,Rice,Basmati,3.11,25.15,755.49,1438.33,1624.44,1604.44,46.06,4.35
Punjab,Maize,Hybrid-1,126.12,25.15,879.92,1216.24,1339.11,1319.11,40.86,4.19
Bihar,Rice,Basmati,136.28,32.04,484.06,1262.33,1338.05,1318.05,63.93,2.45
Tamil Nadu,Wheat,HD-2967,121.88,39.38,519.89,1038.75,1130.74,1110.74,62.66,3.02
Bihar,Rice,Basmati,5.59,36.44,1007.12,863.02,901.38,881.38,52.09,2.35
Maharashtra,Wheat,HD-2967,19.3,29.09,832.62,899.14,1022.44,1002.44,71.17,2.99
Maharashtra,Onion,Nashik Red,25.4,25.5,2894.16,1712.64,1820.89,1800.89,71.46,1.46
Punjab,Maize,Hybrid-1,96.83,33,581.77,1025.34,1135.84,1115.84,72.13,2.27
Uttar Pradesh,Maize,Hybrid-1,132.9,26.92,346.82,1497.36,1625.41,1605.41,72.5,4.17
Karnataka,Onion,Nashik Red,59.43,28.19,2866.67,1159.37,1372.06,1352.06,45.88,3.75
Maharashtra,Potato,Kufri Jyoti,6,30.89,2676.19,1542.2,1685.62,1665.62,85.08,4.49
Maharashtra,Rice,Basmati,81.87,38.17,570.29,1761.45,1866.99,1846.99,44.9,1.81
Bihar,Wheat,HD-2967,126.65,26.5,664.28,981.54,1133.6,1113.6,46.17,2.55
Karnataka,Rice,Basmati,130.04,31.88,712.4,877.49,965.76,945.76,44.54,4.93
Maharashtra,Wheat,HD-2967,71.53,29.95,512.21,1585.83,1708.78,1688.78,77.16,1.39
Tamil Nadu,Potato,Kufri Jyoti,128.97,27.94,1961.73,1158.13,1283.45,1263.45,89.04,3.23
Uttar Pradesh,Rice,Basmati,73.29,32.09,703.56,1002.84,1199.8,1179.8,63.06,3.67
Bihar,Potato,Kufri Jyoti,112.66,30.03,1706.46,1127.23,1263.8,1243.8,47.31,4.42
Maharashtra,Rice,Basmati,130.22,34.72,521.72,1477.62,1540.12,1520.12,46.79,3.04
Punjab,Potato,Kufri Jyoti,22.34,26.86,1609.35,1379.49,1587.14,1567.14,87.63,3.69
Karnataka,Maize,Hybrid-1,123.85,25.93,449.64,1759.15,1861.72,1841.72,78.44,3.8
Punjab,Onion,Nashik Red,12.59,30.1,1721.8,1222.56,1306.76,1286.76,51.78,4.53
Uttar Pradesh,Wheat,HD-2967,106.76,29.28,991.98,1036.13,1150.1,1130.1,76.76,1.78
Punjab,Potato,Kufri Jyoti,20.15,27.18,1845.71,1397.84,1529.7,1509.7,82.53,3.54
Tamil Nadu,Wheat,HD-2967,20.66,35.47,976.19,916.36,1024.62,1004.62,80.02,4.9
Punjab,Onion,Nashik Red,59.96,27.99,2788.57,1438.46,1567.94,1547.94,65.42,4.51
Punjab,Onion,Nashik Red,74.14,37.68,1994.68,1073.18,1256.75,1236.75,63.26,1.28
Punjab,Wheat,HD-2967,58.01,38.1,418.98,1671.34,1805,1785,54.32,4.85
Bihar,Maize,Hybrid-1,33.87,24.9,683.45,870.46,1042.75,1022.75,86.16,1.66
Karnataka,Wheat,HD-2967,35.24,33.93,605.35,1688.65,1756.49,1736.49,76.5,2.56
Karnataka,Rice,Basmati,108.7,25.03,593.48,1705.34,1885.82,1865.82,56.54,1.48
Punjab,Maize,Hybrid-1,57,32.09,952.06,1156.07,1283.68,1263.68,40.72,1.29
Karnataka,Onion,Nashik Red,114.43,38.36,2591.56,1202.44,1310.58,1290.58,53.15,4.5
Bihar,Maize,Hybrid-1,92.48,32.24,565.64,1747.59,1946.65,1926.65,80.94,2.52
Karnataka,Rice,Basmati,23.46,36.97,470.35,846.58,993.64,973.64,46.27,4.09
Bihar,Maize,Hybrid-1,7.47,36.25,536.45,1683.84,1757.58,1737.58,68.07,1.16
